,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_init_mean,param_init_std_dev,param_lr_bu,param_lr_bi,param_lr_pu,param_lr_qi,param_reg_bu,param_reg_bi,param_reg_pu,param_reg_qi
657,1.0260630860763273,1.0337588644122284,1.023516018346426,1.0277793229449939,0.004354160893058404,206,0.28424779574076336,0.004224589193021478,0.15437189737955728,0.04869781954923017,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1e-06,1e-06,1.0
658,1.0248848875034127,1.0344876971064714,1.0250659693205664,1.0281461846434834,0.004484735807514126,211,0.2857157389322917,0.0011800803257034022,0.19064966837565103,0.05350891465130462,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1e-06,1.0,1e-06
659,1.0259641339632082,1.0335007899655908,1.0234043747793604,1.0276230995693865,0.004285520199077181,202,0.2787509759267171,0.01863034530308077,0.1473242441813151,0.049291622901913926,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1e-06,1.0,1.0
660,1.025069081686831,1.034691043004146,1.0251625331643293,1.0283075526184355,0.004513970567250541,213,0.2679896354675293,0.0026760150670223355,0.1491857369740804,0.051533566110079115,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1.0,1e-06,1e-06
661,1.026182408924168,1.0336572673323208,1.0235839824440418,1.02780788623351,0.004270003862019883,207,0.2719082037607829,0.003751452262466369,0.14798394838968912,0.0487756344900822,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1, 'reg_pu': 1e-06, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1.0,1e-06,1.0
662,1.0250448574498914,1.034562630822002,1.0252146762369412,1.028274054836278,0.004447235137421536,212,0.29068899154663086,0.02815742766020178,0.17437616984049478,0.07324417035446767,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1, 'reg_pu': 1, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1.0,1.0,1e-06
663,1.0259069983476352,1.0334421644029332,1.0234990536321613,1.0276160721275767,0.004235332559860559,201,0.2837236722310384,0.01875755152255272,0.1470028559366862,0.05019946664030375,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1.0,1.0,1.0
664,1.0388784391294303,1.0431408134723512,1.0397847113511058,1.040601321317629,0.0018334116900588025,329,0.26537466049194336,0.0033257153309245746,0.1809839407602946,0.046669256340064996,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1e-06,1e-06,1e-06
665,1.0357762877302232,1.0411604006019488,1.035070425389857,1.0373357045740097,0.002719777587780138,275,0.2709825038909912,0.004963781170109783,0.1476606527964274,0.049032214034395685,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1e-06,1e-06,1.0
666,1.0385801787724853,1.0428729176472522,1.0393741383597932,1.0402757449265103,0.0018648632769534235,315,0.27030444145202637,0.0026228254470700377,0.14601548512776694,0.04881602598177748,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1e-06,1.0,1e-06
